Marca,Modelo,Combustible,Carrocería,Cilindrada,co2,weight
Alfa Romeo,Mito,Gasolina,Hatch Back,1.4,145.75,1155
Alfa Romeo,Mito JTD,Diesel,Hatch Back,1.2,91,1225
Aston Martin,DB9,Gasolina,Cabriolet,5.9,325,1890
Aston Martin,DB9,Gasolina,Coupé,5.9,325,1785
Aston Martin,V12 Vantage S,Gasolina,Convertible,6,343,1665
Aston Martin,V12 Vantage S,Gasolina,Coupé,6,356,1665
Aston Martin,Vanquish,Gasolina,Cabriolet,5.9,335,1849
Aston Martin,Vanquish,Gasolina,Coupé,5.9,335,1739
Aston Martin,Vantage,Gasolina,Cabriolet,4.7,296,1690
Aston Martin,Vantage,Gasolina,Coupe,4.7,296,1510
Aston Martin,Vantage S,Gasolina,Cabriolet,4.7,296,1690
Aston Martin,Vantage S,Gasolina,Coupe,4.7,296,1510
Audi,A1,Gasolina,Hatch Back,1.2,120,1140
Audi,A1,Gasolina,Hatch Back,1.4,141.6,1155
Audi,A1 Sportback,Gasolina,Hatch Back,1.4,146,1180
Audi,A1 TFSI,Gasolina,Hatch Back,1.4,120.75,1155
Audi,A3,Diesel,Hatch Back,2,120,1365
Audi,A3,Diesel,Sedan,2,122,1490
Audi,A3,Gasolina,Hatch Back,1.2,122.625,1255
Audi,A3,Gasolina,Hatch Back,1.4,123,1345
Audi,A3,Gasolina,Hatch Back,1.8,162.33333333333334,1305
Audi,A3,Gasolina,Sedan,1.4,115,1280
Audi,A3,Gasolina,Sedan,1.8,159,1440
Audi,A4,Gasolina,Sedan,1.8,126,1545
Audi,A4,Gasolina,Station Wagon,2,143,1745
Audi,A4 Allroad Quattro,Gasolina,Station Wagon,2,166,1685
Audi,A4 Avant,Diesel,Station Wagon,2,149,1610
Audi,A4 Avant,Gasolina,Station Wagon,1.8,141,1600
Audi,A5 Quattro,Gasolina,Convertible,2,159,1835
Audi,A5 Quattro,Gasolina,Coupé,2,155,1575
Audi,A5 TFSI,Gasolina,Coupe,2,139,1530
Audi,A6,Diesel,Sedan,2,132,1720
Audi,A6,Diesel,Sedan,3,162,1720
Audi,A6,Gasolina,Sedan,2,151,1780
Audi,A6,Gasolina,Sedan,3,192,1935
Audi,A6,Gasolina,Station Wagon,3,190,1910
Audi,A6 Allroad,Diesel,Station Wagon,3,162,2020
Audi,A6 Avant,Diesel,Station Wagon,3,162,1785
Audi,A6 T Quattro,Gasolina,Sedan,3,172,1835
Audi,A6 Ultra,Gasolina,Sedan,1.8,133,1645
Audi,A7,Diesel,Hatch Back,3,156,1770
Audi,A7,Gasolina,Hatch Back,3,190,1860
Audi,A7 Quattro Sportback,Gasolina,Hatch Back,3,179,1860
Audi,A8,Gasolina,Sedan,3,207,2035
Audi,A8 Quattro,Gasolina,Sedan,3,183,2035
